date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,ltp,current_value,pnl_amount,pnl_percentage
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-03,EQ,TATAMOTORS,34.0,89.13,3030.4,103.45,3517.3,486.9,16.07
2020-07-27,EQ,YESBANK,100.0,12.3,1230.0,12.3,1230.0,0.0,0.0
2020-07-27,EQ,YESBANK,100.0,12.3,1230.0,12.3,1230.0,0.0,0.0
2020-07-29,EQ,IDEA,20.0,8.2,164.0,8.25,165.0,1.0,0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
2020-07-29,EQ,PNB,30.0,32.95,988.5,32.75,982.5,-6.0,-0.61
